"","TeamFan","Response","Race","Political"
"205","Atlanta Falcons","DemocratWhite","White","Democrat"
"206","Atlanta Falcons","DemocratWhite","White","Democrat"
"207","Atlanta Falcons","DemocratWhite","White","Democrat"
"208","Atlanta Falcons","IndependentAsian","Asian","Independent"
"209","Atlanta Falcons","IndependentAsian","Asian","Independent"
"210","Atlanta Falcons","IndependentAsian","Asian","Independent"
"211","Atlanta Falcons","IndependentBlack","Black","Independent"
"212","Atlanta Falcons","IndependentBlack","Black","Independent"
"213","Atlanta Falcons","IndependentBlack","Black","Independent"
"214","Atlanta Falcons","IndependentBlack","Black","Independent"
"215","Atlanta Falcons","IndependentBlack","Black","Independent"
"216","Atlanta Falcons","IndependentBlack","Black","Independent"
"217","Atlanta Falcons","IndependentBlack","Black","Independent"
"218","Atlanta Falcons","IndependentBlack","Black","Independent"
"219","Atlanta Falcons","IndependentBlack","Black","Independent"
"220","Atlanta Falcons","IndependentBlack","Black","Independent"
"221","Atlanta Falcons","IndependentBlack","Black","Independent"
"222","Atlanta Falcons","IndependentBlack","Black","Independent"
"223","Atlanta Falcons","IndependentBlack","Black","Independent"
"224","Atlanta Falcons","IndependentHispanic","Hispanic","Independent"
"225","Atlanta Falcons","IndependentHispanic","Hispanic","Independent"
"226","Atlanta Falcons","IndependentHispanic","Hispanic","Independent"
"227","Atlanta Falcons","IndependentHispanic","Hispanic","Independent"
"228","Atlanta Falcons","IndependentHispanic","Hispanic","Independent"
"229","Atlanta Falcons","IndependentHispanic","Hispanic","Independent"
"230","Atlanta Falcons","IndependentHispanic","Hispanic","Independent"
"231","Atlanta Falcons","IndependentHispanic","Hispanic","Independent"
"232","Atlanta Falcons","IndependentOther","Other","Independent"
"233","Atlanta Falcons","IndependentOther","Other","Independent"
"234","Atlanta Falcons","IndependentOther","Other","Independent"
"235","Atlanta Falcons","IndependentOther","Other","Independent"
"236","Atlanta Falcons","IndependentOther","Other","Independent"
"237","Atlanta Falcons","IndependentOther","Other","Independent"
"238","Atlanta Falcons","IndependentOther","Other","Independent"
"239","Atlanta Falcons","IndependentOther","Other","Independent"
"240","Atlanta Falcons","IndependentWhite","White","Independent"
"241","Atlanta Falcons","IndependentWhite","White","Independent"
"242","Atlanta Falcons","IndependentWhite","White","Independent"
"243","Atlanta Falcons","IndependentWhite","White","Independent"
"244","Atlanta Falcons","IndependentWhite","White","Independent"
"245","Atlanta Falcons","IndependentWhite","White","Independent"
"246","Atlanta Falcons","IndependentWhite","White","Independent"
"247","Atlanta Falcons","IndependentWhite","White","Independent"
"248","Atlanta Falcons","IndependentWhite","White","Independent"
"249","Atlanta Falcons","IndependentWhite","White","Independent"
"250","Atlanta Falcons","IndependentWhite","White","Independent"
"251","Atlanta Falcons","IndependentWhite","White","Independent"
"252","Atlanta Falcons","IndependentWhite","White","Independent"
"253","Atlanta Falcons","IndependentWhite","White","Independent"
"254","Atlanta Falcons","IndependentWhite","White","Independent"
"255","Atlanta Falcons","IndependentWhite","White","Independent"
"256","Atlanta Falcons","IndependentWhite","White","Independent"
"257","Atlanta Falcons","IndependentWhite","White","Independent"
"258","Atlanta Falcons","IndependentWhite","White","Independent"
"259","Atlanta Falcons","IndependentWhite","White","Independent"
"260","Atlanta Falcons","IndependentWhite","White","Independent"
"261","Atlanta Falcons","IndependentWhite","White","Independent"
"262","Atlanta Falcons","IndependentWhite","White","Independent"
"263","Atlanta Falcons","IndependentWhite","White","Independent"
"264","Atlanta Falcons","IndependentWhite","White","Independent"
"265","Atlanta Falcons","IndependentWhite","White","Independent"
"266","Atlanta Falcons","IndependentWhite","White","Independent"
"267","Atlanta Falcons","IndependentWhite","White","Independent"
"268","Atlanta Falcons","IndependentWhite","White","Independent"
"269","Atlanta Falcons","IndependentWhite","White","Independent"
"270","Atlanta Falcons","IndependentWhite","White","Independent"
