Name,Disaster.type,Year,Month,Day,Total.CPIAdjusted.Cost.in.Billions,Deaths
Minnesota Hail Storm and Upper Midwest Severe Weather (June 2017),Severe Storm,2017,6,9,2.797,0
Midwest Severe Weather (June 2017),Severe Storm,2017,6,12,1.796,0
Midwest Severe Weather (June 2017),Severe Storm,2017,6,27,1.696,0
Hurricane Harvey (August 2017),Tropical Cyclone,2017,8,25,148.750,89
Hurricane Irma (September 2017),Tropical Cyclone,2017,9,6,59.500,97
Hurricane Maria (September 2017),Tropical Cyclone,2017,9,19,107.100,2981
"Western Wildfires, California Firestorm (Summer-Fall 2017)",Wildfire,2017,6,1,21.426,54
"North Dakota, South Dakota and Montana Drought (Spring-Fall 2017)",Drought,2017,3,1,3.000,0
Central and Eastern Winter Storm (January 2018),Winter Storm,2018,1,3,1.231,22
Northeast Winter Storm (March 2018),Winter Storm,2018,3,1,2.567,9
Southeastern Tornadoes and Severe Weather (March 2018),Severe Storm,2018,3,18,1.699,0
Southern and Eastern Tornadoes and Severe Weather (April 2018),Severe Storm,2018,4,13,1.542,3
Central and Northeastern Severe Weather (May 2018),Severe Storm,2018,5,1,1.627,0
Central and Eastern Severe Weather (May 2018),Severe Storm,2018,5,13,1.603,5
Texas Hail Storm (June 2018),Severe Storm,2018,6,6,1.508,0
Colorado Hail Storm (June 2018),Severe Storm,2018,6,13,1.108,0
Colorado Hail Storm (June 2018),Severe Storm,2018,6,18,2.579,0
Central and Eastern Tornadoes and Severe Weather (July 2018),Severe Storm,2018,7,19,1.839,0
Rockies and Plains Hail Storms (August 2018),Severe Storm,2018,8,6,1.189,0
Hurricane Florence (September 2018),Tropical Cyclone,2018,9,13,27.840,53
Hurricane Michael (October 2018),Tropical Cyclone,2018,10,10,28.971,49
Southwest/Southern Plains Drought (Summer-Fall 2018),Drought,2018,6,1,3.528,0
"Western Wildfires, California Firestorm (Summer-Fall 2018)",Wildfire,2018,6,1,27.840,106
"Southeast, Ohio Valley and Northeast Severe Weather (February 2019)",Severe Storm,2019,2,23,1.436,2
Texas Hail Storm (March 2019),Severe Storm,2019,3,22,1.765,0
Missouri River and North Central Flooding (March 2019),Flooding,2019,3,14,12.443,3
Southern and Eastern Tornadoes and Severe Weather (April 2019),Severe Storm,2019,4,13,1.427,7
South and Southeast Severe Weather (May 2019),Severe Storm,2019,5,7,1.726,0
Central Severe Weather (May 2019),Severe Storm,2019,5,16,1.109,0
"Rockies, Central and Northeast Tornadoes and Severe Weather (May 2019)",Severe Storm,2019,5,26,5.128,3
Arkansas River Flooding (June 2019),Flooding,2019,5,20,3.449,5
Colorado Hail Storms (July 2019),Severe Storm,2019,7,4,1.149,0
"Mississippi River, Midwest and Southern Flooding (July 2019)",Flooding,2019,3,15,7.095,4
Hurricane Dorian (September 2019),Tropical Cyclone,2019,8,28,1.835,10
Tropical Storm Imelda (September 2019),Tropical Cyclone,2019,9,17,5.700,5
Texas Tornadoes and Central Severe Weather (October 2019),Severe Storm,2019,10,20,1.958,2
California and Alaska Wildfires (Summer-Fall 2019),Wildfire,2019,6,1,5.130,3
Southeast Tornadoes and Northern Storms and Flooding (January 2020),Severe Storm,2020,1,10,1.299,10
"South, East and Northeast Severe Weather (February 2020)",Severe Storm,2020,2,5,1.420,3
Tennessee Tornadoes and Southeast Severe Weather (March 2020),Severe Storm,2020,3,2,2.640,25
Midwest and Ohio Valley Severe Weather (March 2020),Severe Storm,2020,3,27,2.891,0
North Central and Ohio Valley Hail Storms and Severe Weather (April 2020),Severe Storm,2020,4,7,3.284,0
Southeast and Eastern Tornado Outbreak (April 2020),Severe Storm,2020,4,12,3.926,35
Southern Severe Weather (April 2020),Severe Storm,2020,4,21,1.539,3
"Central, Southern and Eastern Severe Weather (April 2020)",Severe Storm,2020,4,27,1.171,1
Central and Eastern Severe Weather (May 2020),Severe Storm,2020,5,3,2.409,2
"South, Central and Eastern Severe Weather (May 2020)",Severe Storm,2020,5,20,1.806,2
South Texas Hail Storms (May 2020),Severe Storm,2020,5,27,1.596,0
Central Severe Weather (July 2020),Severe Storm,2020,7,10,1.352,0
Hurricane Hanna (July 2020),Tropical Cyclone,2020,7,25,1.204,0
Hurricane Isaias (August 2020),Tropical Cyclone,2020,8,3,5.328,16
Central Severe Weather - Derecho (August 2020),Severe Storm,2020,8,10,12.461,4
Hurricane Laura (August 2020),Tropical Cyclone,2020,8,27,26.001,42
Hurricane Sally (September 2020),Tropical Cyclone,2020,9,15,8.147,5
Hurricane Delta (October 2020),Tropical Cyclone,2020,10,9,3.211,5
Hurricane Zeta (October 2020),Tropical Cyclone,2020,10,28,4.874,6
Tropical Storm Eta (November 2020),Tropical Cyclone,2020,11,8,1.635,12
"Western Wildfires - California, Oregon, Washington Firestorms (Fall 2020)",Wildfire,2020,8,1,18.424,46
Western/Central Drought and Heat Wave (Summer-Fall 2020),Drought,2020,6,1,5.034,45
California Flooding and Severe Weather (January 2021),Flooding,2021,1,24,1.226,2
"Northwest, Central, Eastern Winter Storm and Cold Wave (February 2021)",Winter Storm,2021,2,10,25.182,262
Southeast Tornadoes and Severe Weather (March 2021),Severe Storm,2021,3,24,1.845,6
