Season,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Player-additional
2000-01,Antonio McDyess,PF,26,DEN,70,2555,22,0.538,0,0.373,10.1,26.1,18,10.8,0.9,2.7,10.7,26.5,5.2,2.6,7.8,0.146,2.5,-0.8,1.7,2.4,mcdyean01
2000-01,Tracy McGrady*,SG,21,ORL,77,3087,24.9,0.521,0.096,0.34,6.7,14.3,10.4,22.8,1.9,2.8,9.1,31.2,8.3,3.9,12.2,0.189,6.5,0.5,7,7,mcgratr01
2000-01,Jim McIlvaine,C,28,NJN,18,193,6.2,0.421,0,0.429,4.6,16.5,10.4,3.2,1.9,5.8,21.3,9.9,-0.2,0.2,0.1,0.015,-6.9,2,-4.9,-0.1,mcilvji01
2000-01,Jeff McInnis,PG,26,LAC,81,2831,15.6,0.521,0.154,0.173,1.7,7,4.4,27.7,1.4,0.2,10.1,18.2,5.8,1.1,6.9,0.117,0.6,-0.9,-0.3,1.2,mcinnje01
2000-01,Derrick McKey,SF,34,IND,66,987,8.3,0.49,0.147,0.199,5.8,14.1,10.1,11.6,2.6,0.9,24.1,9.2,0.1,1.3,1.4,0.07,-3.5,2.5,-0.9,0.3,mckeyde01
2000-01,Aaron McKie,SG,28,PHI,76,2394,15.1,0.549,0.238,0.272,1.6,12.9,7.3,26.7,2.3,0.2,20.3,18.9,2.3,3.5,5.9,0.118,0.1,1.3,1.4,2.1,mckieaa01
2000-01,Roshown McLeod,SF,25,TOT,35,922,10.5,0.475,0.066,0.154,4.6,10,7.3,11,1.3,0.6,14.1,20,-0.1,0.5,0.4,0.019,-2.6,-0.8,-3.4,-0.3,mcleoro01
2000-01,Roshown McLeod,SF,25,ATL,34,907,10.6,0.475,0.064,0.155,4.5,10,7.2,11.2,1.3,0.6,13.9,20.2,-0.1,0.5,0.4,0.019,-2.5,-0.8,-3.3,-0.3,mcleoro01
2000-01,Roshown McLeod,SF,25,PHI,1,15,0.9,0.5,0.5,0,7.7,7.4,7.5,0,0,0,33.3,9,0,0,0,-0.019,-6.6,-2.8,-9.4,0,mcleoro01
2000-01,Paul McPherson,PG,22,TOT,55,595,13.6,0.542,0.056,0.269,7,7.6,7.3,11.6,2.2,0.5,16.3,21,0.4,0.5,0.9,0.074,-1.6,-0.3,-1.9,0,mcphepa01
2000-01,Paul McPherson,PG,22,PHO,33,308,10.8,0.526,0.063,0.25,7.2,10.5,8.8,8.8,2,0.7,17.8,18.8,0,0.4,0.5,0.076,-3.5,0.7,-2.7,-0.1,mcphepa01
2000-01,Paul McPherson,PG,22,GSW,22,287,16.7,0.556,0.05,0.283,6.8,4.4,5.7,14.6,2.3,0.2,15.1,23.4,0.4,0,0.4,0.071,0.5,-1.4,-0.9,0.1,mcphepa01
2000-01,Stanislav Medvedenko,PF,21,LAL,7,39,21.8,0.528,0.04,0.48,2.9,22.9,13,10.8,1.3,1.8,9,38.2,0.1,0,0.1,0.126,-1.3,-0.9,-2.3,0,medvest01
2000-01,Ron Mercer,SG,24,CHI,61,2535,14.8,0.492,0.041,0.203,3.2,8,5.5,16.2,1.7,0.8,9.6,24.8,1.5,0.4,1.8,0.035,0.3,-2.2,-1.9,0.1,mercero01
2000-01,Chris Mihm,C,21,CLE,59,1166,12.6,0.5,0.003,0.322,10.6,17.3,13.9,2.4,0.9,3.3,15.2,20.4,0.3,1,1.3,0.053,-2.9,-1.3,-4.2,-0.7,mihmch01
2000-01,Darius Miles,SF,19,LAC,81,2133,14.7,0.518,0.03,0.378,7,18.3,12.8,8.1,1.3,4.1,16.7,19.1,0.5,2.6,3,0.068,-1.3,0.8,-0.5,0.8,milesda01
