,X,title,year,runtime,genre1,certificate,rating,director,cast,gross,votes
8012,8012,El torreón,1983,96,Drama,PG-13,5.7,Michael Mann,Scott Glenn|Ian McKellen|Alberta Watson|Jürgen Prochnow,3758840,10098
8016,8016,The Kid (El chico),2000,104,Comedy,PG-13,6.1,Jon Turteltaub,Bruce Willis|Spencer Breslin|Emily Mortimer|Lily Tomlin,69691949,38591
8017,8017,El chico que conquistó Hollywood,2002,93,Documentary,PG-13,7.4,Nanette Burstein,Brett Morgen|Robert Evans|Eddie Albert|Peter Bart|Charlie Bluhdorn,1434436,6683
8018,8018,Los chicos están bien,2010,106,Comedy,PG,7,Lisa Cholodenko,Annette Bening|Julianne Moore|Mark Ruffalo|Mia Wasikowska,20811365,121715
8020,8020,El demonio bajo la piel,2010,109,Crime,R,6.1,Michael Winterbottom,Casey Affleck|Kate Hudson|Jessica Alba|Ned Beatty,214966,32064
8021,8021,Los gritos del silencio,1984,141,Biography,PG-13,7.8,Roland Joffé,Sam Waterston|Haing S. Ngor|John Malkovich|Julian Sands,34700291,48325
8026,8026,O Rei,2005,105,Drama,PG-13,6.7,James Marsh,Gael García Bernal|William Hurt|Laura Harring|Derek Alvarado,281326,6985
8027,8027,El rey y yo,1999,87,Animation,PG-13,4.4,Richard Rich,Miranda Richardson|Martin Vidnovic|Christiane Noll|Ian Richardson,11956538,3526
8028,8028,El rey de la comedia,1982,109,Comedy,PG-13,7.8,Martin Scorsese,Robert De Niro|Jerry Lewis|Diahnne Abbott|Sandra Bernhard,2500000,74543
8030,8030,The King of Kong,2007,79,Documentary,PG-13,8.1,Seth Gordon,Steve Wiebe|Billy Mitchell|Mark Alpiger|Adam Wood,677914,33571
8032,8032,El discurso del rey,2010,118,Biography,PG-13,8,Tom Hooper,Colin Firth|Geoffrey Rush|Helena Bonham Carter|Derek Jacobi,138797449,604563
8033,8033,La sombra del reino,2007,110,Action,R,7,Peter Berg,Jamie Foxx|Chris Cooper|Jennifer Garner|Jason Bateman,47536778,113610
8035,8035,Cometas en el cielo,2007,128,Drama,PG,7.6,Marc Forster,Khalid Abdalla|Ahmad Khan Mahmoodzada|Atossa Leoni|Shaun Toub,15800078,75122
8037,8037,Los Krays,1990,115,Biography,PG,6.6,Peter Medak,Gary Kemp|Martin Kemp|Billie Whitelaw|Tom Bell,2060847,7171
8040,8040,The Lady - Um Coração Dividido,2011,132,Biography,PG,7.1,Luc Besson,Michelle Yeoh|David Thewlis|Jonathan Raggett|Jonathan Woodhouse,355391,9848
8042,8042,Ladykillers,2004,104,Comedy,PG-13,6.2,Ethan Coen,Joel Coen|Tom Hanks|Marlon Wayans|Irma P. Hall|J.K. Simmons,39799191,95086
8043,8043,La guarida del gusano blanco,1988,93,Horror,R,5.9,Ken Russell,Amanda Donohoe|Hugh Grant|Catherine Oxenberg|Peter Capaldi,1189315,9288
8044,8044,La casa del lago,2006,99,Drama,PG,6.8,Alejandro Agresti,Keanu Reeves|Sandra Bullock|Christopher Plummer|Ebon Moss-Bachrach,52330111,132491
8045,8045,En busca del valle encantado,1988,69,Animation,G,7.4,Don Bluth,Pat Hingle|Gabriel Damon|Judith Barsi|Helen Shaver,48092846,74916
8048,8048,Airbender: El último guerrero,2010,103,Action,PG,4.1,M. Night Shyamalan,Noah Ringer|Nicola Peltz|Jackson Rathbone|Dev Patel,131564731,139978
8050,8050,El último americano virgen,1982,92,Comedy,PG-13,6.3,Boaz Davidson,Lawrence Monoson|Diane Franklin|Steve Antin|Joe Rubbo,5829781,7358
8051,8051,El último Boy Scout,1991,105,Action,R,7,Tony Scott,Bruce Willis|Damon Wayans|Chelsea Field|Noble Willingham,59509925,87949
8052,8052,La última fortaleza,2001,131,Action,PG-13,7,Rod Lurie,Robert Redford|James Gandolfini|Mark Ruffalo|Steve Burton,18208078,66762
8053,8053,The Last Days of Disco,1998,113,Comedy,R,6.7,Whit Stillman,Chloë Sevigny|Kate Beckinsale|Chris Eigeman|Mackenzie Astin,2987297,11533
8054,8054,Los últimos días en Marte,2013,98,Adventure,PG,5.5,Ruairi Robinson,Liev Schreiber|Elias Koteas|Romola Garai|Olivia Williams,23838,33731
8057,8057,El último dragón,1985,109,Action,PG-13,6.9,Michael Schultz,Taimak|Vanity|Christopher Murney|Julius Carry,25754284,12077
8058,8058,El último emperador,1987,163,Biography,PG,7.7,Bernardo Bertolucci,John Lone|Joan Chen|Peter O'Toole|Ruocheng Ying,43984230,86797
8059,8059,El último exorcismo,2010,87,Horror,PG-13,5.6,Daniel Stamm,Patrick Fabian|Ashley Bell|Iris Bahr|Louis Herthum,41034350,46487
8064,8064,La última casa a la izquierda,2009,110,Horror,R,6.5,Dennis Iliadis,Garret Dillahunt|Monica Potter|Tony Goldwyn|Michael Bowen,32752215,80844
8065,8065,El último rey de Escocia,2006,123,Biography,PG-13,7.7,Kevin Macdonald,James McAvoy|Forest Whitaker|Gillian Anderson|Kerry Washington,17605861,167855
8066,8066,El último beso,2006,115,Comedy,PG-13,6.4,Tony Goldwyn,Zach Braff|Jacinda Barrett|Rachel Bilson|Casey Affleck,11596143,40136
8067,8067,La última legión,2007,101,Action,PG,5.4,Doug Lefler,Colin Firth|Ben Kingsley|Aishwarya Rai Bachchan|Peter Mullan,5932060,33025
8068,8068,Mimzy más allá de la imaginación,2007,90,Drama,G,6.2,Robert Shaye,Joely Richardson|Rainn Wilson|Timothy Hutton|Chris O'Neil,21471047,20260
8073,8073,El último samurái,2003,154,Action,PG-13,7.7,Edward Zwick,Tom Cruise|Ken Watanabe|Billy Connolly|William Atherton,111110575,376578
8074,8074,La última seducción,1994,110,Crime,R,7,John Dahl,Linda Fiorentino|Peter Berg|Bill Pullman|Michael Raysses,6138485,19468
8075,8075,The Last September,1999,103,Drama,R,5.9,Deborah Warner,Michael Gambon|Tom Hickey|Keeley Hawes|David Tennant,469974,769
8076,8076,El último golpe,2004,93,Comedy,R,5.6,Jeff Nathanson,Matthew Broderick|Alec Baldwin|Toni Collette|Tony Shalhoub,463730,4006
8077,8077,La última canción,2010,107,Drama,G,5.9,Julie Anne Robinson,Miley Cyrus|Liam Hemsworth|Greg Kinnear|Bobby Coleman,62950384,76617
8078,8078,El último desafío,2013,107,Action,PG-13,6.3,Jee-woon Kim,Arnold Schwarzenegger|Forest Whitaker|Johnny Knoxville|Rodrigo Santoro,12050299,128053
8079,8079,Starfighter: La aventura comienza,1984,101,Action,G,6.7,Nick Castle,Lance Guest|Robert Preston|Kay E. Kuter|Dan Mason,28733290,35901
8080,8080,La última estación,2009,112,Biography,PG,7,Michael Hoffman,Helen Mirren|James McAvoy|Christopher Plummer|Paul Giamatti,6616974,17156
8081,8081,La última cena,1995,92,Comedy,PG-13,6.8,Stacy Title,Cameron Diaz|Ron Eldard|Annabeth Gish|Jonathan Penner,442965,13615
8082,8082,La última tentación de Cristo,1988,164,Drama,PG-13,7.6,Martin Scorsese,Willem Dafoe|Harvey Keitel|Barbara Hershey|Paul Greco,7630564,47604
8083,8083,La última vez que me suicidé,1997,92,Biography,PG-13,5.6,Stephen Kay,Thomas Jane|Keanu Reeves|Adrien Brody|John Doe,46362,1953
8084,8084,El último magnate,1976,123,Drama,PG-13,6.3,Elia Kazan,Robert De Niro|Tony Curtis|Robert Mitchum|Jeanne Moreau,1819912,7460
8085,8085,El último unicornio,1982,92,Animation,PG-13,7.5,Jules Bass,Arthur Rankin Jr.|Jeff Bridges|Mia Farrow|Angela Lansbury|Alan Arkin,6455530,22910
8086,8086,El último vals,1978,117,Documentary,PG-13,8.2,Martin Scorsese,Robbie Robertson|Muddy Waters|Neil Young|Van Morrison,321952,14942
8088,8088,El último cazador de brujas,2015,106,Action,PG-13,6,Breck Eisner,Vin Diesel|Rose Leslie|Elijah Wood|Ólafur Darri Ólafsson,27367660,88500
8089,8089,La última aventura de Robin Hood,2013,94,Biography,R,5.7,Richard Glatzer,Wash Westmoreland|John Hudson Messerall|Brian Bascle|Daniel J. Clancy|Kelly O'Neal,269642,1906
8091,8091,El último mohicano,1992,112,Action,PG-13,7.7,Michael Mann,Daniel Day-Lewis|Madeleine Stowe|Russell Means|Eric Schweig,75505856,139231
8094,8094,El cortador de césped,1992,108,Horror,PG-13,5.4,Brett Leonard,Jeff Fahey|Pierce Brosnan|Jenny Wright|Mark Bringelson,32101000,32291
8096,8096,La liga de los hombres extraordinarios,2003,110,Action,PG,5.8,Stephen Norrington,Sean Connery|Stuart Townsend|Peta Wilson|Jason Flemyng,66465204,159792
8105,8105,Hércules: El origen de la leyenda,2014,99,Action,PG,4.2,Renny Harlin,Kellan Lutz|Gaia Weiss|Scott Adkins|Roxanne McKee,18848538,50925
8107,8107,La leyenda de Tarzán,2016,110,Action,PG,6.2,David Yates,Alexander Skarsgård|Rory J. Saper|Christian Stevens|Christoph Waltz,126643061,153828
8108,8108,La leyenda del Zorro,2005,129,Action,PG,5.9,Martin Campbell,Antonio Banderas|Catherine Zeta-Jones|Rufus Sewell|Alberto Reyes,46464023,87841
8110,8110,La leyenda del Llanero Solitario,1981,98,Action,G,5.1,William A. Fraker,Klinton Spilsbury|Michael Horse|Christopher Lloyd|Matt Clark,12617845,1687
8111,8111,La LEGO película,2014,100,Animation,G,7.8,Phil Lord,Christopher Miller|Chris Pratt|Will Ferrell|Elizabeth Banks|Will Arnett,257760692,309752
8113,8113,The libertine,2004,114,Biography,R,6.3,Laurence Dunmore,Johnny Depp|Samantha Morton|John Malkovich|Paul Ritter,4835065,33857
8117,8117,Life Aquatic,2004,119,Action,PG-13,7.3,Wes Anderson,Bill Murray|Owen Wilson|Anjelica Huston|Cate Blanchett,24006726,169018
8121,8121,The Life and Times of Grizzly Adams,1974,93,Adventure,PG-13,6.9,Richard Friedenberg,Dan Haggerty|Don Shanks|Marjorie Harper|Lisa Jones,45411063,765
8122,8122,The Life and Times of Hank Greenberg,1998,90,Documentary,PG,7.6,Aviva Kempner,Reeve Brenner|Hank Greenberg|Walter Matthau|Alan M. Dershowitz,1703901,742
8124,8124,La vida de David Gale,2003,130,Crime,R,7.6,Alan Parker,Kevin Spacey|Kate Winslet|Laura Linney|Cleo King,19593740,103284
8125,8125,The Life of Reilly,2006,84,Documentary,PG-13,8.1,Frank L. Anderson,Barry Poltermann|Charles Nelson Reilly,38306,307
8127,8127,El halcón inglés,1999,89,Crime,PG,7,Steven Soderbergh,Terence Stamp|Peter Fonda|Lesley Ann Warren|Luis Guzmán,3193102,27983
8128,8128,Los límites del control,2009,116,Crime,PG,6.3,Jim Jarmusch,Isaach De Bankolé|Alex Descas|Jean-François Stévenin|Óscar Jaenada,425025,18540
8129,8129,El inocente,2011,118,Crime,PG,7.3,Brad Furman,Matthew McConaughey|Marisa Tomei|Ryan Phillippe|William H. Macy,58009200,199722
8131,8131,El rey león,1994,88,Animation,G,8.5,Roger Allers,Rob Minkoff|Matthew Broderick|Jeremy Irons|James Earl Jones|Whoopi Goldberg,422783777,871299
8133,8133,La chica del tambor,1984,130,Thriller,PG-13,6.1,George Roy Hill,Diane Keaton|Yorgo Voyagis|Klaus Kinski|Sami Frey,7828841,1831
8135,8135,La sirenita,1989,83,Animation,PG-13,7.6,Ron Clements,John Musker|Jodi Benson|Samuel E. Wright|Rene Auberjonois|Christopher Daniel Barnes,111543479,219899
8136,8136,El principito,2015,108,Animation,G,7.7,Mark Osborne,Jeff Bridges|Mackenzie Foy|Rachel McAdams|Marion Cotillard,1339152,51417
8138,8138,Una pandilla de pillos,1994,82,Comedy,PG-13,6.3,Penelope Spheeris,Travis Tedford|Bug Hall|Brittany Ashton Holmes|Kevin Jamal Woods,51764950,40466
8140,8140,007: Alta tensión,1987,130,Action,PG-13,6.7,John Glen,Timothy Dalton|Maryam d'Abo|Jeroen Krabbé|Joe Don Baker,51185897,82444
8141,8141,Lizzie Superstar,2003,94,Adventure,PG-13,5.5,Jim Fall,Hilary Duff|Adam Lamberg|Clayton Snyder|Hallie Todd,42672630,33712
8142,8142,El llanero solitario,2013,150,Action,PG,6.4,Gore Verbinski,Johnny Depp|Armie Hammer|William Fichtner|Tom Wilkinson,89302115,211849
8143,8143,Un tipo solitario,1984,90,Comedy,PG-13,6.3,Arthur Hiller,Steve Martin|Charles Grodin|Judith Ivey|Steve Lawrence,5718573,6203
8144,8144,Chica solitaria,1983,92,Drama,PG-13,2.9,Peter Sasdy,Pia Zadora|Lloyd Bochner|Bibi Besch|Joseph Cali,1223220,894
8145,8145,El largo día acaba,1992,85,Biography,PG-13,7.4,Terence Davies,Leigh McCormack|Marjorie Yates|Anthony Watson|Nicholas Lamont,161179,2480
8147,8147,Un largo adiós,1973,112,Comedy,PG-13,7.6,Robert Altman,Elliott Gould|Nina van Pallandt|Sterling Hayden|Mark Rydell,959000,23231
8148,8148,Memoria letal,1996,121,Action,R,6.8,Renny Harlin,Geena Davis|Samuel L. Jackson|Yvonne Zima|Craig Bierko,33328051,68560
8149,8149,Forajidos de leyenda,1980,100,Biography,R,7,Walter Hill,David Carradine|Stacy Keach|Dennis Quaid|Keith Carradine,2.30E+07,9110
8150,8150,El largo camino a casa,1990,97,Drama,PG-13,7.3,Richard Pearce,Sissy Spacek|Whoopi Goldberg|Dwight Schultz|Ving Rhames,4803039,3006
8153,8153,El clan de los rompehuesos,2005,113,Comedy,PG-13,6.4,Peter Segal,Adam Sandler|Burt Reynolds|Chris Rock|Nelly,158119460,153237
8155,8155,Quem Diria?!,2008,94,Biography,G,5.3,Fred Durst,Ice Cube|Keke Palmer|Tasha Smith|Jill Marie Jones,11508423,3651
8156,8156,La mirada del amor,2013,101,Biography,PG-13,6,Michael Winterbottom,Steve Coogan|Matt Lucas|Anna Friel|Imogen Poots,21252,6325
8157,8157,The Lookout,2007,99,Crime,PG-13,7,Scott Frank,Joseph Gordon-Levitt|Jeff Daniels|Matthew Goode|Isla Fisher,4600585,55160
8158,8158,Lorax: En busca de la trúfula perdida,2012,86,Animation,G,6.4,Chris Renaud,Kyle Balda|Zac Efron|Taylor Swift|Danny DeVito|Ed Helms,214030500,91934
8159,8159,El señor de los anillos,1978,132,Animation,G,6.2,Ralph Bakshi,Christopher Guard|William Squire|Michael Scholes|John Hurt,921769,28008
8160,8160,El señor de los anillos: La comunidad del anillo,2001,178,Adventure,PG,8.8,Peter Jackson,Elijah Wood|Ian McKellen|Orlando Bloom|Sean Bean,315544750,1548275
8161,8161,El señor de los anillos: El retorno del rey,2003,201,Adventure,PG,8.9,Peter Jackson,Elijah Wood|Viggo Mortensen|Ian McKellen|Orlando Bloom,377845905,1532990
8162,8162,El señor de los anillos: Las dos torres,2002,179,Adventure,PG,8.7,Peter Jackson,Elijah Wood|Ian McKellen|Viggo Mortensen|Orlando Bloom,342551365,1386624
8163,8163,Hombres de hierro,1983,102,Thriller,PG-13,6.6,Franc Roddam,David Keith|Robert Prosky|G.D. Spradlin|Barbara Babcock,11787127,2387
8165,8165,The lords of Salem,2012,101,Horror,PG-13,5.1,Rob Zombie,Sheri Moon Zombie|Meg Foster|Bruce Davison|Jeff Daniel Phillips,1163508,26105
8166,8166,Los perdedores,2010,97,Action,PG,6.3,Sylvain White,Idris Elba|Zoe Saldana|Jeffrey Dean Morgan|Chris Evans,23580735,86362
8167,8167,The Loss of Sexual Innocence,1999,106,Drama,PG-13,5.4,Mike Figgis,Julian Sands|Saffron Burrows|Stefano Dionisi|Kelly Macdonald,399793,3028
8169,8169,Jóvenes ocultos,1987,97,Comedy,R,7.3,Joel Schumacher,Jason Patric|Corey Haim|Dianne Wiest|Barnard Hughes,32222567,114894
8170,8170,La ciudad perdida,2005,144,Drama,PG,6.6,Andy Garcia,Andy Garcia|Inés Sastre|Bill Murray|Alfredo Armenteros,2483955,8950
8171,8171,Z la ciudad perdida,2016,141,Biography,PG,6.6,James Gray,Charlie Hunnam|Robert Pattinson|Sienna Miller|Tom Holland,8580410,69476
8176,8176,The Lost Skeleton of Cadavra,2001,90,Comedy,PG,7,Larry Blamire,Larry Blamire|Fay Masterson|Brian Howe|Dan Conroy,143121,4549
8178,8178,El mundo perdido: Jurassic Park,1997,129,Action,PG-13,6.6,Steven Spielberg,Jeff Goldblum|Julianne Moore|Pete Postlethwaite|Vince Vaughn,229086679,353792
8179,8179,El gurú del buen rollo,2008,87,Comedy,PG,3.8,Marco Schnabel,Mike Myers|Jessica Alba|Romany Malco|Jessica Simpson,32235793,48484
8180,8180,Carta de amor,1999,88,Comedy,PG-13,5.5,Peter Ho-Sun Chan,Kate Capshaw|Tom Everett Scott|Tom Selleck|Blythe Danner,8276228,3943
8183,8183,The Lovely Bones,2009,135,Drama,PG-13,6.7,Peter Jackson,Rachel Weisz|Mark Wahlberg|Saoirse Ronan|Susan Sarandon,43818839,147990
8184,8184,El amante,1992,115,Biography,R,6.9,Jean-Jacques Annaud,Jane March|Tony Ka Fai Leung|Frédérique Meininger|Arnaud Giovaninetti,4899194,17831
8186,8186,Cuando te encuentre,2012,101,Drama,PG,6.5,Scott Hicks,Zac Efron|Taylor Schilling|Blythe Danner|Riley Thomas Stewart,60457138,96099
8187,8187,Tipos con suerte,2008,115,Comedy,R,6.9,Neil Burger,Rachel McAdams|Tim Robbins|Michael Peña|Molly Hagan,183088,13003
8190,8190,El maquinista,2004,101,Drama,R,7.7,Brad Anderson,Christian Bale|Jennifer Jason Leigh|Aitana Sánchez-Gijón|John Sharian,1082715,335990
8192,8192,La locura del rey Jorge,1994,110,Biography,PG-13,7.2,Nicholas Hytner,Nigel Hawthorne|Helen Mirren|Rupert Graves|Amanda Donohoe,15238994,14501
8193,8193,Las hermanas de la Magdalena,2002,114,Drama,PG-13,7.7,Peter Mullan,Eileen Walsh|Dorothy Duffy|Nora-Jane Noone|Anne-Marie Duff,4890878,24950
8195,8195,El verano de sus vidas,2012,109,Comedy,PG,7,Rob Reiner,Morgan Freeman|Virginia Madsen|Madeline Carroll|Emma Fuhrmann,100910,16565
8205,8205,Vidas furtivas,2000,100,Drama,PG-13,6.2,Sally Potter,Christina Ricci|Cate Blanchett|Oleg Yankovskiy|Claudia Lander-Duke,739583,13702
8206,8206,El hombre que cayó a la Tierra,1976,139,Drama,PG-13,6.7,Nicolas Roeg,David Bowie|Rip Torn|Candy Clark|Buck Henry,100072,22213
8207,8207,El hombre que mató a Don Quijote,2018,132,Adventure,PG,6.4,Terry Gilliam,José Luis Ferrer|Ismael Fritschi|Juan López-Tagle|Adam Driver,391963,10798
8208,8208,El hombre que no sabía nada,1997,94,Comedy,PG-13,6.7,Jon Amiel,Bill Murray|Joanne Whalley|Peter Gallagher|Richard Wilson,13801755,28505
8209,8209,Mis problemas con las mujeres,1983,110,Comedy,PG,5.2,Blake Edwards,Burt Reynolds|Julie Andrews|Kim Basinger|Marilu Henner,10964231,2040
8212,8212,El hombre que nunca estuvo allí,2001,118,Crime,R,7.5,Joel Coen,Ethan Coen|Billy Bob Thornton|Frances McDormand|Michael Badalucco|James Gandolfini,7494849,98633
8213,8213,Fórmula Secreta,1983,111,Action,PG-13,3.8,Bruce Malmuth,Steve Guttenberg|Jeffrey Tambor|Art Hindle|Morgan Most,2443487,482
8215,8215,El hombre sin rostro,1993,115,Drama,PG-13,6.7,Mel Gibson,Mel Gibson|Nick Stahl|Margaret Whitton|Fay Masterson,24760338,26400
8217,8217,El hombre sin pasado,2010,119,Action,R,7.8,Jeong-beom Lee,Won Bin|Sae-ron Kim|Tae-hoon Kim|Hee-won Kim,6460,56784
8219,8219,El hombre de Río Nevado,1982,102,Adventure,PG,7.3,George Miller,Kirk Douglas|Tom Burlinson|Terence Donovan|Tommy Dysart,20659423,7346
8220,8220,Operación U.N.C.L.E.,2015,116,Action,PG,7.3,Guy Ritchie,Henry Cavill|Armie Hammer|Alicia Vikander|Elizabeth Debicki,45445109,246707
8222,8222,El hombre de la máscara de hierro,1998,132,Action,PG,6.5,Randall Wallace,Leonardo DiCaprio|Jeremy Irons|John Malkovich|Gérard Depardieu,56968902,148847
8223,8223,Verano en Louisiana,1991,99,Drama,PG-13,7.4,Robert Mulligan,Sam Waterston|Tess Harper|Gail Strickland|Reese Witherspoon,2853801,14505
8224,8224,El hombre con un zapato rojo,1985,92,Comedy,PG,5.7,Stan Dragoti,Tom Hanks|Lori Singer|Dabney Coleman|Charles Durning,8600000,14011
8225,8225,Un genio con dos cerebros,1983,93,Comedy,PG,6.4,Carl Reiner,Steve Martin|Kathleen Turner|David Warner|Paul Benedict,10100000,22836
8226,8226,El hombre de la pistola de oro,1974,125,Action,PG,6.8,Guy Hamilton,Roger Moore|Christopher Lee|Britt Ekland|Maud Adams,20972000,88457
8227,8227,El hombre de los puños de hierro,2012,95,Action,PG-13,5.4,RZA,Russell Crowe|Cung Le|Lucy Liu|RZA,15634090,58833
8228,8228,El mensajero del miedo,2004,129,Drama,R,6.6,Jonathan Demme,Denzel Washington|Liev Schreiber|Meryl Streep|Kimberly Elise,65955630,98641
8229,8229,Alianza macabra,1995,106,Horror,R,4.3,Tobe Hooper,Robert Englund|Ted Levine|Daniel Matmor|Jeremy Crutchley,1781383,7932
8230,8230,Juguete mortal,1986,117,Sci-Fi,PG-13,6.2,Marshall Brickman,John Lithgow|Christopher Collet|Richard Council|Robert Schenkkan,3900000,5131
8232,8232,The Manson Family,1997,95,Crime,R,5.5,Jim Van Bebber,Marcelo Games|Marc Pitman|Leslie Orr|Maureen Allisse,19140,2964
8234,8234,Persecución extrema,2006,92,Action,PG,4.7,John Bonito,John Cena|Kelly Carlson|Robert Patrick|Anthony Ray Parker,18843314,31183
8235,8235,La marquesa de O,1976,102,Drama,PG-13,7.1,Éric Rohmer,Edith Clever|Bruno Ganz|Edda Seippel|Peter Lühr,4316,2042
8237,8237,Ella siempre dice sí,1991,115,Comedy,PG-13,5.8,Jerry Rees,Kim Basinger|Alec Baldwin|Robert Loggia|Elisabeth Shue,12454768,4893
8238,8238,Marte,2015,144,Adventure,PG,8,Ridley Scott,Matt Damon|Jessica Chastain|Kristen Wiig|Kate Mara,228433663,701393
8240,8240,La máscara,1994,101,Comedy,PG-13,6.9,Chuck Russell,Jim Carrey|Cameron Diaz|Peter Riegert|Peter Greene,119938730,321421
8241,8241,La máscara del Zorro,1998,136,Action,PG-13,6.7,Martin Campbell,Antonio Banderas|Anthony Hopkins|Catherine Zeta-Jones|José María de Tavira,94095523,159330
8242,8242,The Master,2012,138,Drama,PG-13,7.2,Paul Thomas Anderson,Philip Seymour Hoffman|Joaquin Phoenix|Amy Adams|Jesse Plemons,16377274,137031
8243,8243,El maestro del disfraz,2002,80,Adventure,PG-13,3.3,Perry Andelin Blake,Dana Carvey|Jennifer Esposito|Harold Gould|James Brolin,40363530,21097
8244,8244,Matador,2005,96,Comedy,PG,6.7,Richard Shepard,Pierce Brosnan|Greg Kinnear|Hope Davis|Arlin Miller,12594698,42872
8245,8245,Te odio mi amor,1997,97,Comedy,R,6.5,Mark Joffe,Janeane Garofalo|David O'Hara|Milo O'Shea|Jay O. Sanders,3376403,5253
8247,8247,Matrix,1999,136,Action,R,8.7,Lana Wachowski,Lilly Wachowski|Keanu Reeves|Laurence Fishburne|Carrie-Anne Moss|Hugo Weaving,171479930,1553578
8248,8248,Matrix Reloaded,2003,138,Action,PG-13,7.2,Lana Wachowski,Lilly Wachowski|Keanu Reeves|Laurence Fishburne|Carrie-Anne Moss|Hugo Weaving,281492479,487976
8249,8249,Matrix Revolutions,2003,129,Action,PG-13,6.7,Lana Wachowski,Lilly Wachowski|Keanu Reeves|Laurence Fishburne|Carrie-Anne Moss|Hugo Weaving,139313948,423664
8251,8251,El corredor del laberinto,2014,113,Action,PG,6.8,Wes Ball,Dylan O'Brien|Kaya Scodelario|Will Poulter|Thomas Brodie-Sangster,102427862,394495
8252,8252,Llamada a un reportero,1985,103,Crime,PG,6.1,Phillip Borsos,Kurt Russell|Mariel Hemingway|Richard Jordan|Richard Masur,4349446,3447
8253,8253,El sentido de la vida,1983,107,Comedy,PG,7.6,Terry Jones,Terry Gilliam|John Cleese|Terry Gilliam|Eric Idle|Terry Jones,14929552,107022
8254,8254,The Mechanic,2011,93,Action,PG-13,6.6,Simon West,Jason Statham|Ben Foster|Donald Sutherland|Tony Goldwyn,29121498,143779
8256,8256,El poder del talismán,2003,88,Action,PG,5.3,Gordon Chan,Jackie Chan|Lee Evans|Claire Forlani|Julian Sands,22108977,37057
8261,8261,Los hombres que miraban fijamente a las cabras,2009,94,Comedy,PG,6.2,Grant Heslov,Ewan McGregor|George Clooney|Kevin Spacey|Jeff Bridges,32416109,122918
8262,8262,El mercader de Venecia,2004,131,Drama,R,7,Michael Radford,Al Pacino|Joseph Fiennes|Lynn Collins|Jeremy Irons,3765585,33452
8265,8265,Caballero y asesino,2008,110,Crime,R,6.5,Michael Keaton,Michael Keaton|Kelly Macdonald|Bobby Cannavale|Kareem Bandealy,346286,2724
8267,8267,O Mensageiro,2009,113,Drama,PG-13,7.1,Oren Moverman,Ben Foster|Samantha Morton|Woody Harrelson|Jena Malone,66637,32815
8268,8268,Juana de Arco de Luc Besson,1999,158,Adventure,PG-13,6.4,Luc Besson,Milla Jovovich|John Malkovich|Rab Affleck|Stéphane Algoud,14276317,61865
8269,8269,The Messengers,2007,90,Horror,PG-13,5.4,Danny Pang,Oxide Chun Pang|Dylan McDermott|Penelope Ann Miller|Kristen Stewart|John Corbett,35374833,37001
8270,8270,Meteor Man,1993,100,Action,PG-13,5.2,Robert Townsend,Robert Townsend|Marla Gibbs|Eddie Griffin|Robert Guillaume,8023147,7329
8271,8271,The Mexican,2001,123,Adventure,PG-13,6.1,Gore Verbinski,Brad Pitt|Julia Roberts|James Gandolfini|J.K. Simmons,66808615,98657
8272,8272,El vagón de la muerte,2008,98,Horror,PG-13,6.1,Ryûhei Kitamura,Vinnie Jones|Bradley Cooper|Leslie Bibb|Brooke Shields,83361,56709
8273,8273,Un mundo a su medida,1998,100,Comedy,PG-13,7.3,Peter Chelsom,Kieran Culkin|Elden Henson|Sharon Stone|Harry Dean Stanton,2643689,11849
8274,8274,Somos los mejores,1992,100,Comedy,PG,6.5,Stephen Herek,Emilio Estevez|Joss Ackland|Lane Smith|Heidi Kling,50752337,54169
8275,8275,Las poderosas Mac,2009,99,Drama,G,6.5,Tim Chambers,Carla Gugino|Marley Shelton|Ellen Burstyn|David Boreanaz,1864952,1324
8276,8276,A espaldas de la ley,1989,98,Action,PG-13,6,Carl Schenkel,Denzel Washington|Robert Townsend|James Fox|Mimi Rogers,4557214,4631
8277,8277,Un lugar llamado Milagro,1988,117,Comedy,G,6.8,Robert Redford,Rubén Blades|Richard Bradford|Sônia Braga|Julie Carmen,13825794,5665
8278,8278,El molino y la cruz,2011,92,Drama,PG,6.9,Lech Majewski,Rutger Hauer|Michael York|Charlotte Rampling|Joanna Litwin,310900,3607
8281,8281,The Minus Man,1999,111,Crime,R,6.1,Hampton Fancher,Owen Wilson|Sheryl Crow|Dwight Yoakam|Dennis Haysbert,368808,6102
8285,8285,El amor tiene dos caras,1996,126,Comedy,PG-13,6.6,Barbra Streisand,Barbra Streisand|Jeff Bridges|Lauren Bacall|George Segal,41252428,14227
8287,8287,Desapariciones,2003,137,Adventure,PG-13,6.5,Ron Howard,Tommy Lee Jones|Cate Blanchett|Evan Rachel Wood|Jenna Boyd,26900336,31589
8288,8288,La misión,1986,125,Adventure,PG-13,7.4,Roland Joffé,Robert De Niro|Jeremy Irons|Ray McAnally|Aidan Quinn,17218023,52442
8289,8289,Missouri,1976,126,Drama,PG-13,6.6,Arthur Penn,Marlon Brando|Jack Nicholson|Randy Quaid|Kathleen Lloyd,1.40E+07,8830
8290,8290,La niebla,2007,126,Horror,R,7.1,Frank Darabont,Thomas Jane|Marcia Gay Harden|Laurie Holden|Andre Braugher,25593755,266094
